#{"t_start": 1775328281.5124178, "env_id": "None"}
r,l,t
11.099622,30,53.611297
2.85082,30,53.637806
0.45293,30,53.675775
6.620733,30,53.711871
0.404697,30,53.742083
6.969553,30,53.769197
7.151069,30,53.778198
8.245238,30,53.818061
9.705426,30,53.841891
7.751249,30,53.870078
3.958297,30,53.902282
6.707365,30,53.927459
8.875207,30,53.956274
2.703583,30,53.985408
9.870636,30,53.996429
1.335786,30,54.035926
7.06049,30,54.059858
9.821305,30,54.077789
2.116395,30,54.105674
1.879267,30,54.139757
9.198848,30,54.161654
8.147028,30,54.188939
3.365241,30,54.217427
4.158777,30,54.244747
5.897722,30,54.271654
5.797545,30,54.302301
4.756775,30,54.326272
8.185015,30,54.350102
6.282601,30,54.375238
2.352011,30,54.404358
6.194523,30,54.422479
2.810939,30,54.45011
6.682721,30,54.480857
9.475578,30,54.509296
10.319413,30,54.533903
5.187859,30,54.553283
9.435186,30,54.589981
2.124125,30,54.599456
2.134868,30,54.636479
9.375365,30,54.670211
9.772746,30,54.695154
7.934493,30,54.721708
5.228894,30,54.746961
9.41655,30,54.78576
7.900862,30,54.811711
0.857896,30,54.841288
7.049821,30,54.865838
6.311564,30,54.891363
9.239149,30,54.903345
1.964375,30,54.938559
8.766162,30,54.962733
8.412449,30,57.132259
3.787396,30,57.180755
4.845632,30,57.212348
7.057665,30,57.259696
9.606323,30,57.302923
9.369649,30,57.325155
5.524171,30,57.365945
8.009046,30,57.39876
10.941971,30,57.432006
6.901754,30,57.452726
8.96874,30,57.48543
5.001725,30,57.516342
9.113692,30,57.543917
8.553024,30,57.576044
2.708511,30,57.609588
8.783149,30,57.623423
10.168117,30,57.69273
10.20473,30,57.748029
10.599864,30,57.777628
2.827789,30,57.841075
8.218232,30,57.880241
9.797682,30,57.912975
4.412542,30,57.938675
8.255639,30,57.980278
7.305893,30,58.01342
3.923552,30,58.042619
6.407333,30,58.068105
6.596257,30,58.091352
4.157796,30,58.107051
3.813917,30,58.147622
9.374577,30,58.174979
5.835593,30,58.20099
10.607929,30,58.21695
8.701875,30,58.248673
4.702316,30,58.264423
5.824373,30,58.312304
8.659303,30,58.339287
9.043737,30,58.353114
7.498284,30,58.386238
9.82832,30,58.417787
7.64424,30,58.441309
9.187842,30,58.450859
0.788692,30,58.489356
5.102754,30,58.51131
5.425774,30,58.527537
8.68844,30,58.553344
4.473639,30,58.559117
2.403878,30,58.59773
2.099938,30,58.620454
3.709649,30,58.639636
10.448961,30,58.651187
8.690231,30,58.679238
4.09052,30,58.699923
10.028464,30,58.714973
3.476051,30,58.746874
10.994071,30,58.762741
2.033637,30,58.786841
11.48096,30,58.794621
8.342502,30,58.826815
8.228882,30,58.847605
5.319912,30,58.855607
7.312606,30,58.871395
8.549671,30,58.887229
7.575975,30,58.925707
7.655992,30,58.945589
3.471519,30,58.965183
9.361029,30,58.981122
5.420945,30,58.997701
7.982799,30,60.515579
5.658796,30,60.535411
8.420539,30,60.549497
8.418619,30,60.581535
6.319593,30,60.606828
3.68509,30,60.626443
5.580844,30,60.647546
7.571368,30,60.667371
2.720205,30,60.698936
4.206046,30,60.714754
10.808541,30,60.740731
5.475315,30,60.769378
5.761884,30,60.789259
6.126669,30,60.80924
8.720989,30,60.828323
7.021756,30,60.841771
3.734821,30,60.870765
4.504224,30,60.89426
9.658002,30,60.913957
8.828151,30,60.931042
4.842488,30,60.950575
8.698408,30,60.968428
7.500316,30,60.982221
9.595225,30,61.027434
2.983812,30,61.047472
9.604512,30,61.067304
9.584853,30,61.087022
8.168201,30,61.110535
6.090879,30,61.13166
6.385369,30,61.152713
4.457249,30,61.169825
5.703564,30,61.192312
9.689383,30,61.20532
5.672857,30,61.229331
5.917029,30,61.248161
5.829447,30,61.265239
10.147934,30,61.288532
4.716638,30,61.307521
5.132205,30,61.325445
5.799124,30,61.344188
4.662136,30,61.36428
7.631188,30,61.382104
1.679274,30,61.406042
9.848341,30,61.424995
7.860227,30,61.442386
5.458257,30,61.459143
7.784422,30,61.478232
8.263633,30,61.49607
5.649165,30,61.514951
7.004449,30,61.528008
8.808824,30,61.55173
9.605994,30,61.567541
6.411958,30,61.57532
11.148119,30,61.601021
6.628008,30,61.606788
8.355312,30,61.642777
10.108714,30,61.660573
2.310084,30,61.677569
10.146548,30,61.687074
8.924389,30,61.713371
6.469363,30,61.730354
1.953524,30,61.746885
8.960115,30,61.763366
4.178929,30,61.778545
10.5487,30,61.800395
9.85101,30,61.817065
5.926309,30,61.820486
9.059553,30,61.852211
3.282581,30,63.303723
4.892805,30,63.32252
9.318533,30,63.351249
8.87596,30,63.373481
8.537961,30,63.38748
3.416606,30,63.423248
3.986559,30,63.447487
10.870513,30,63.470211
10.253159,30,63.492326
8.808644,30,63.512196
9.384287,30,63.528027
9.937509,30,63.555662
4.633055,30,63.575566
9.494351,30,63.599812
2.43219,30,63.624795
5.548627,30,63.643242
7.30327,30,63.652785
9.773023,30,63.68467
9.812902,30,63.7049
6.193184,30,63.715901
7.491301,30,63.747685
6.012682,30,63.769047
7.890138,30,63.788276
5.606364,30,63.803981
